codigo_unico,region,pais,codigo_pais,nombre_subnacional,nombre_nivel,nivel_gobierno,codigo_nivel,gob_regional,gob_local,poblacion,poblacion_anio,urbano,analfabetismo,fin_secundaria_adultos,participacion_mujeres,participacion_hombres,agua_mejorada,saneamiento_mejorado,electricidad,desempleo_adulto,desempleo_adulto_mujer,desempleo_adulto_hombre,recoleccion_residuos,empleo_publico_categoria,etnia_indigena,etnia_afro,tics_computadora,tics_celular,tiene_ods,hogares
ARG060700070,América del Sur,Argentina,ARG,Baradero,Municipio,Local,2,Buenos Aires,Baradero,39223,2022,0,0.02044881697698999,0.46519604546371646,0.5865905286994191,0.857466956007102,0.9221390168970814,0.7371351766513057,0.9956797235023042,0.05869906491024503,0.08862034239677745,0.03819164845277809,0.9090821812596006,0.5009771986970684,0.0033576508653582,0.01523152528921583,0.45746927803379417,0.8583909370199693,1,10444
ARG060770077,América del Sur,Argentina,ARG,Arrecifes,Municipio,Local,2,Buenos Aires,Arrecifes,32077,2022,0,0.01410894479704123,0.370480322752531,0.6022457352623624,0.8594052637575481,0.9414414414414414,0.7843075633773307,0.99643829876388,0.04938647968904809,0.07171029042667623,0.03287816518626541,0.9276136601717996,0.4830219007434198,0.00199697011430932,0.01308359730064729,0.3990152943641316,0.8784831342970878,1,9563
ARG060840084,América del Sur,Argentina,ARG,Benito Juárez,Municipio,Local,2,Buenos Aires,Benito Juárez,21185,2022,0,0.01047154471544715,0.4086034040568897,0.6178151260504202,0.8628472222222222,0.9040671971706454,0.7785145888594164,0.9973474801061007,0.05574832292389544,0.08949945593035909,0.03078470824949698,0.89272030651341,0.5619686069326357,0.00256929690202085,0.01655220119571125,0.4048040082522842,0.8719422340111995,1,6835
ARG060910091,América del Sur,Argentina,ARG,Berazategui,Municipio,Local,2,Buenos Aires,Berazategui,358328,2022,0.99833807558137,0.01102793744151851,0.45233441910966343,0.6056749720386853,0.8563739902517167,0.93636481019196,0.8033593010243608,0.9989670310751484,0.07898629326496401,0.10857825641662268,0.05723540884879039,0.9689937492603472,0.3928977272727273,0.0040894051998716,0.02151181452309819,0.4641258500473444,0.8559115950761814,1,92986
ARG060980098,América del Sur,Argentina,ARG,Berisso,Municipio,Local,2,Buenos Aires,Berisso,100685,2022,0.9825696762927536,0.01072534442267131,0.5452076981707317,0.6180473986042977,0.8442005824277292,0.9837534605857496,0.7946597697799795,0.9945723444557774,0.0675211828808718,0.09452207937395192,0.04720037019898195,0.9677619117004226,0.3838838838838839,0.00397744607283698,0.0178420095142318,0.47683228908640535,0.823801544514061,1,27476
ARG061050105,América del Sur,Argentina,ARG,Bolívar,Municipio,Local,2,Buenos Aires,Bolívar,37194,2022,0,0.01036834924965893,0.4525071341214839,0.6032993692382339,0.8774490203918432,0.8973504415930679,0.8205299116813864,0.9961673054490918,0.03414471490496832,0.05468875663503297,0.01959444064707222,0.9031908689494292,0.29743313588224735,0.00141341003769093,0.01351418369371156,0.4053491084819197,0.8689385102482919,1,12633
ARG061120112,América del Sur,Argentina,ARG,Bragado,Municipio,Local,2,Buenos Aires,Bragado,46227,2022,0,0.01349019607843137,0.45962833288446,0.6075583665183103,0.8573736068486513,0.8822335735777762,0.7511020922258764,0.9957315793156531,0.04538783497309344,0.06438761084693484,0.03146194423511681,0.9305905401623286,0.2391666063806699,0.0021047029223921,0.02053899748403329,0.4582604436358547,0.8634805122104822,1,14316
ARG061190119,América del Sur,Argentina,ARG,Brandsen,Municipio,Local,2,Buenos Aires,Brandsen,32350,2022,0.7340408141978917,0.01464643813323534,0.46641979464736577,0.6204290589956118,0.8769627085377821,0.6310667948101875,0.7143200384430562,0.9917107160019222,0.04796143475774164,0.0756385068762279,0.02825570009791579,0.8646083613647285,0.2073965118722421,0.00235142412864565,0.01528425683619676,0.4311629024507448,0.8820278712157616,1,8336
ARG061260126,América del Sur,Argentina,ARG,Campana,Municipio,Local,2,Buenos Aires,Campana,107976,2022,0.9030904669680055,0.01391048902712977,0.4924211201172322,0.5789029535864979,0.8594960915221257,0.91800717304073,0.6671993182060296,0.9979759241504208,0.06125932334167271,0.08653061224489796,0.0443420898551856,0.9500372856077554,0.22274209128229897,7.9341570751523e-4,0.01411222071767095,0.5143993466141117,0.8839529846241255,1,28201
ARG061340134,América del Sur,Argentina,ARG,Cañuelas,Municipio,Local,2,Buenos Aires,Cañuelas,70542,2022,0.9078928397995152,0.01888019069805239,0.4251573396836197,0.5845850775671017,0.870242214532872,0.33757836990595613,0.6584378265412748,0.996342737722048,0.05398642917726887,0.08203454085930918,0.03507526270945754,0.9090374820425754,0.21786926766179876,0.00362290911893933,0.01892391890850227,0.4029519331243469,0.8888453500522466,1,15333
ARG061400140,América del Sur,Argentina,ARG,Capitán Sarmiento,Municipio,Local,2,Buenos Aires,Capitán Sarmiento,15882,2022,0,0.01401355559626305,0.3944108761329305,0.6316944688323091,0.8817108487413677,0.8889126712328768,0.882277397260274,0.9950770547945206,0.03905792861322411,0.06011118832522585,0.02374936836786255,0.909888698630137,0.19442809495781832,0.00255278046088036,0.0128328963709121,0.4766695205479452,0.8852739726027398,1,4678
ARG061470147,América del Sur,Argentina,ARG,Carlos Casares,Municipio,Local,2,Buenos Aires,Carlos Casares,22905,2022,0,0.01149561507466224,0.3954,0.6268983644859814,0.8832464631422189,0.82983922829582,0.7864951768488746,0.9969131832797428,0.03433098591549296,0.05147915210808292,0.02191873208565166,0.8935048231511254,0.2804711038071761,0.00233844493411881,0.00840940774385034,0.46919614147909966,0.8668810289389067,1,7799
ARG061540154,América del Sur,Argentina,ARG,Carlos Tejedor,Municipio,Local,2,Buenos Aires,Carlos Tejedor,14007,2022,0,0.01725508003178567,0.3895951496186192,0.6102919919051749,0.8810672722111836,0.6262575452716298,0.6609657947686117,0.9969818913480886,0.02358581016299137,0.04026527711984841,0.01224226804123711,0.8556338028169014,0.3253135398003583,0.0017286084701815,0.01132238547968885,0.4202716297786721,0.8558853118712274,1,3985
ARG061610161,América del Sur,Argentina,ARG,Carmen de Areco,Municipio,Local,2,Buenos Aires,Carmen de Areco,17345,2022,0,0.01901312811226799,0.3698851928171916,0.6279322328410079,0.8786114704614058,0.774994601597927,0.6689699848844741,0.995249406175772,0.03588860178007465,0.05430646835005189,0.02282208588957055,0.8417530224525043,0.23907103825136616,0.00156547781105363,0.00857609583446773,0.4327359101705895,0.8985100410278557,1,4641
ARG061680168,América del Sur,Argentina,ARG,Castelli,Municipio,Local,2,Buenos Aires,Castelli,9551,2022,0,0.01670146137787056,0.40968443960826983,0.6037514654161782,0.8801452784503632,0.8151414920984932,0.8129364204336642,0.9930172730613744,0.04616210413311862,0.06796116504854369,0.0307198532783127,0.8522185551888523,0.28879610299234515,0.00390006093845216,0.01413772090188909,0.4119808893789048,0.8941565600882029,1,2738
ARG061750175,América del Sur,Argentina,ARG,Colón,Municipio,Local,2,Buenos Aires,Colón,27406,2022,0,0.01652412628022384,0.4155022409702082,0.5895341416719847,0.8720292504570384,0.8688804785740447,0.7376388719326089,0.9985349774142352,0.06258298663361954,0.09439272569820308,0.04058101227912548,0.9239409107557076,0.26961169627417075,0.00144636400160707,0.01124949779027722,0.3982419728970822,0.8753509949945062,1,8213
ARG061820182,América del Sur,Argentina,ARG,Coronel de Marina Leonardo Rosales,Municipio,Local,2,Buenos Aires,Coronel de Marina Leonardo Rosales,65823,2022,0.00579557963358449,0.00481726507803969,0.6524673284296222,0.563149701200221,0.8168854318586939,0.9766217680755536,0.9292976208907466,0.9956133560406668,0.07221779245927783,0.11753165685749956,0.0386166765853336,0.984724157506322,0.6049264073643215,0.00125628140703517,0.01760404587037753,0.5766630541363472,0.8978169995355318,1,19431
ARG061890189,América del Sur,Argentina,ARG,Coronel Dorrego,Municipio,Local,2,Buenos Aires,Coronel Dorrego,15795,2022,0,0.01157370197717408,0.43311466058185966,0.6102117061021171,0.8548488008342023,0.8846897521532783,0.8764281947618211,0.99630866584637,0.05100156272197755,0.07482993197278912,0.03391070992925103,0.8887717448603057,0.27898900250819986,0.00183254344391785,0.01396524486571879,0.3956758657057479,0.8451397433643875,1,5707
ARG061960196,América del Sur,Argentina,ARG,Coronel Pringles,Municipio,Local,2,Buenos Aires,Coronel Pringles,24110,2022,0,0.01346687036722684,0.3884800314002551,0.601082281115582,0.8660907127429806,0.8619241694454737,0.8009139187353341,0.99481289366432,0.05673141973518894,0.08010156971375808,0.0399002493765586,0.901704124475179,0.2980969579108209,0.00156979025857933,0.01111934766493699,0.3887859701123873,0.8705693466716068,1,8115
